model,setting,fewshot_frac,seed,organ,n_train_support,n_val,n_test,n_classes,best_val_f1_weighted,accuracy,f1_weighted,auroc,n_eval
OpenAI CLIP,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.5787336987336986,0.6576576576576577,0.6104136334476892,0.7816038471131064,111
OpenAI CLIP,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.6326626256500029,0.6666666666666666,0.6486635889620964,0.8162473500436462,111
OpenAI CLIP,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.6832533683108396,0.6306306306306306,0.6474201474201474,0.8418498254146402,111
BiomedCLIP,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.5444947209653093,0.5675675675675675,0.49568717653824035,0.6505307706696595,111
BiomedCLIP,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.577001886679306,0.5855855855855856,0.5705809939386581,0.7099856590597332,111
BiomedCLIP,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.6406388783149347,0.6216216216216216,0.591320417407374,0.7400252525252525,111
CLIP standard | MLP heads only,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.49912395560543715,111
CLIP standard | MLP heads only,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.4828540029928919,111
CLIP standard | MLP heads only,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.5496866816311261,111
CLIP standard | MLP + image encoder,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.7015975853185155,0.7747747747747747,0.7480457410034875,0.9183548447437336,111
CLIP standard | MLP + image encoder,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.7032886545081667,0.6936936936936937,0.6928077845287147,0.7927944569148272,111
CLIP standard | MLP + image encoder,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.669035128494588,0.7747747747747747,0.7540696112124684,0.9162964521760818,111
CLIP standard | MLP + text encoder,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.44594594594594594,0.6036036036036037,0.46283783783783783,0.7867650268113232,111
CLIP standard | MLP + text encoder,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.5492096894874673,111
CLIP standard | MLP + text encoder,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.5385385385385385,0.6216216216216216,0.5051480051480052,0.6652013966828781,111
CLIP standard | MLP + image + text encoder,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.5802204140167103,111
CLIP standard | MLP + image + text encoder,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.4846481793241053,111
CLIP standard | MLP + image + text encoder,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.7403510412769672,111
CLIP LLM | MLP heads only,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.45094155080412524,0.5045045045045045,0.46600171600171597,0.560538252899364,111
CLIP LLM | MLP heads only,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.5518354844743734,111
CLIP LLM | MLP heads only,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.4836096600802484,0.4864864864864865,0.46885577165951,0.6105600760693353,111
CLIP LLM | MLP + image encoder,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.5932557944941848,0.6216216216216216,0.5846355446355446,0.6590659683252276,111
CLIP LLM | MLP + image encoder,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.6357481999373892,0.6126126126126126,0.5819110702831634,0.7665271542586357,111
CLIP LLM | MLP + image encoder,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.6411448303340196,0.6036036036036037,0.5599425883920905,0.7477561104875919,111
CLIP LLM | MLP + text encoder,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.5756237006237007,0.5765765765765766,0.5380856336080216,0.5860051128569648,111
CLIP LLM | MLP + text encoder,fewshot_e2e_full_clip,0.05,42,liver,27,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.5299421685995761,111
CLIP LLM | MLP + text encoder,fewshot_e2e_full_clip,0.1,42,liver,52,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.4166183439331587,111
CLIP LLM | MLP + image + text encoder,fewshot_e2e_full_clip,0.01,42,liver,8,111,111,3,0.44342647732478246,0.5945945945945946,0.44342647732478246,0.49244177890011226,111
